Name,Age Minimum,Age Maximum,Traumatic,Atraumatic,Swelling,Location 1,Location 2,Location 3,
Osgood-Schlatter Apophysitis,8,15,FALSE,TRUE,Moderate,Tibial Tubercle,Patellar Tendon,,
Sinding-Larsen-Johansson Syndrome,9,13,FALSE,TRUE,Mild,Distal Pole of Patella,Patellar Tendon,,
Hoffa's Fat Pad Impingement,0,18,TRUE,TRUE,Mild,Hoffa's Fat Pad,,,
Patellofemoral Knee Pain Syndrome,10,18,FALSE,TRUE,Mild,Patellar Facet,,,
Medial Meniscus Tear,12,18,TRUE,FALSE,Moderate,Medial Knee Joint Line,,,
Lateral Meniscus Tear,12,18,TRUE,FALSE,Moderate,Lateral Knee Joint Line,,,
ACL Tear,12,18,TRUE,FALSE,Severe,Medial Knee Joint Line,Lateral Knee Joint Line,Popliteal Fossa,
PCL Tear,12,18,TRUE,FALSE,Severe,Medial Knee Joint Line,Lateral Knee Joint Line,Popliteal Fossa,
Distal IT Band Syndrome,13,18,FALSE,TRUE,Mild,Distal IT Band,,,
Proximal Gastrocnemius Strain,15,18,TRUE,FALSE,Mild,Popliteal Fossa,,,
Quadriceps Tendonitis,14,18,FALSE,TRUE,Mild,Quadriceps Tendon,,,
Patellar Tendonitis,14,18,FALSE,TRUE,Mild,Patellar Tendon,,,
Patellar Subluxation,13,18,TRUE,FALSE,Mild,Patellar Facet,,,
Patellar Dislocation,12,18,TRUE,FALSE,Severe,Patellar Facet,,,
Patellar Tendon Strain,12,18,TRUE,FALSE,Mild,Patellar Tendon,,,
Quadriceps Strain,14,18,TRUE,FALSE,Mild,Quadriceps Tendon,,,
Hamstring Strain,13,18,TRUE,FALSE,Mild,Popliteal Fossa,,,
MCL Sprain,14,18,TRUE,FALSE,Moderate,Medial Knee Joint Line,,,
LCL Sprain,14,18,TRUE,FALSE,Moderate,Lateral Knee Joint Line,,,
Knee Contusion,0,18,TRUE,FALSE,Mild,Patella,,,
Tibial Tuberosity Avulsion Fracture,12,16,TRUE,FALSE,Severe,Tibial Tubercle,,,
Patella Fracture,13,18,TRUE,FALSE,Severe,Patella,,,
Osteomyelitis,0,18,FALSE,TRUE,Mild,Distal Femur,Proximal Tibia,,
Septic Arthritis,0,18,FALSE,TRUE,Mild,Patellar Facet,,,
Juvenile Idiopathic Arthritis,0,10,FALSE,TRUE,Moderate,Patellar Facet,,,
Lyme Arthritis,0,18,FALSE,TRUE,Severe,Patellar Facet,,,
Osteochondritis Dissecans,9,16,FALSE,TRUE,Mild,Patellar Facet,Patella,,
Slipped Capital Femoral Epiphysis,10,16,FALSE,TRUE,None,Distal Femur,,,
Legg-Calvé-Perthes disease,4,10,FALSE,TRUE,None,Distal Femur,,,
Osteosarcoma,10,18,FALSE,TRUE,Moderate,Distal Femur,Proximal Tibia,,
Osteochondroma,10,18,FALSE,TRUE,Mild,Distal Femur,Proximal Tibia,Proximal Fibula,
Osteoid Osteoma,10,18,FALSE,TRUE,None,Distal Femur,Proximal Tibia,,
Reactive Arthritis,8,18,FALSE,TRUE,Moderate,Patellar Facet,Patella,,
Contusion,0,18,TRUE,FALSE,Moderate,Patella,,,
Lateral Ankle Sprain,12,18,TRUE,FALSE,Moderate,Anterior Ankle,Lateral Malleolus,,
Deltoid Ligament Sprain,13,18,TRUE,FALSE,Moderate,Lateral Malleolus,Anterior Ankle,,
Achilles Tendonitis,12,18,FALSE,TRUE,Mild,Distal Achilles,Lateral Malleolus,Medial Malleolus,
Sever's Disease,8,14,FALSE,TRUE,Mild,Distal Achilles,Lateral Malleolus,Medial Malleolus,
Achilles Tendon Rupture,16,18,TRUE,FALSE,Moderate,Distal Achilles,,,
Calcaneal Fracture,0,18,TRUE,FALSE,Mild,Calcaneal Region,,,Can be stress or acute-trauma related
Shin Splints (Medial Tibial Stress Syndrome),12,18,FALSE,TRUE,None,Distal Tibia,Medial Malleolus,,
Retrocalcaneal Bursitis,0,18,FALSE,FALSE,Mild,Calcaneal Region,Distal Achilles,,
Syndesmotic Ankle Sprain,12,18,TRUE,FALSE,None,Distal Tibia,Tibiotalar Articulation,Distal fibula,
"Distal Tibia Fracture (Avulsion, Stress, SH)",6,18,TRUE,FALSE,Moderate,Distal Tibia,Tibiotalar Articulation,,Can be stress or acute-trauma related
"Distal Fibula Fracture (Avulsion, Stress, SH)",6,18,TRUE,FALSE,Moderate,Distal Fibula,Fibulotalar Articulation,,Can be stress or acute-trauma related
Talar Fracture,0,18,TRUE,FALSE,Severe,Tibiotalar Articulation,,,
Peroneal Tendinopathy,12,18,FALSE,TRUE,None,Lateral Malleolus,Fibulotalar Articulation,,
Tarsal Tunnel Syndrome,0,18,FALSE,TRUE,None,Calcaneal Region,,,
"Postero-medial Tendonitis (FHL, Tibialis Posterior, FDL)",0,18,FALSE,TRUE,None,Medial Malleolus,,,
Anterior Ankle Impingement,12,18,FALSE,TRUE,None,Anterior Ankle,,,
Posterior Ankle Impingement,0,18,FALSE,TRUE,None,Tibiotalar Articulation,Distal Achilles,Calcaneal Region,
Os Trigonum,0,18,FALSE,TRUE,None,Distal Achilles,Calcaneal Region,Lateral Malleolus,
Os Subtibiale,0,18,FALSE,TRUE,None,Medial Malleolus,,,
Os Subfibulare,0,18,FALSE,TRUE,None,Lateral Malleolus,,,
Accessory Navicular Bone,0,18,FALSE,TRUE,None,Medial Malleolus,,,
Osteomyelitis,0,18,FALSE,TRUE,Mild,Distal Tibia,Tibiotalar Articulation,Distal Fibula,
Septic Arthritis,0,18,FALSE,TRUE,Severe,Tibiotalar Articulation,,,
Juvenile Idiopathic Arthritis,0,8,FALSE,TRUE,Mild,Tibiotalar Articulation,,,
Anuerysmal Bone Cyst,0,18,FALSE,TRUE,None,Tibiotalar Articulation,Distal Tibia,Distal Fibula,
Ankle Contusion,0,18,TRUE,FALSE,Mild,Lateral Malleolus,Distal Fibula,Medial Malleolus,
Unicameral Bone Cyst,0,18,FALSE,TRUE,None,Calcaneal Region,,,
Reactive Arthritis,15,18,FALSE,TRUE,Moderate,Tibiotalar Articulation,,,
Tarsal Coalition,0,18,FALSE,TRUE,None,Calcaneal Region,Anterior Ankle,,
Proximal IT Band Syndrome,12,18,FALSE,TRUE,None,Lateral Proximal Thigh/Greater Trochanteric Region,,,
Femoral Neck Fracture,8,18,FALSE,TRUE,None,Groin,Anterior Proximal Thigh,Pubic Region,
Slipped Capital Femoral Epiphysis,10,15,FALSE,TRUE,None,Groin,Anterior Proximal Thigh,Gluteal Region,
